state,year,has_conflict,source_file,total_deaths,deaths_poaching,deaths_natural_other,deaths_scrutiny,deaths_seizure,deaths_unnatural_nonp,pct_adult_tiger_deaths,was_imputed,total_deaths_imputed,national_seizures
Nagaland,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,0.0,
Odisha,2012,False,tigerdeaths_2012,1.0,1.0,0.0,0.0,,,,False,1.0,
Odisha,2013,False,tigerdeaths_2013,1.0,0.0,1.0,0.0,,,,False,1.0,
Odisha,2017,False,tigerdeaths_16-18,1.0,,,,,,,False,1.0,
Odisha,2018,False,tigerdeaths_16-18,1.0,,,,,,57.43,False,1.0,
Odisha,2019,False,mortality_19-21,0.0,,,,,,43.75,False,0.0,10.0
Odisha,2020,False,mortality_19-21|tigerdeaths_20-22,0.0,,,,,,20.75,False,0.0,4.0
Odisha,2021,False,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,0.0,,,,,,20.47,False,0.0,7.0
Odisha,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,2.0,,,,1.0,,49.59,False,2.0,5.0
Odisha,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,2.0,3.0
Odisha,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,2.0,
Rajasthan,2012,False,tigerdeaths_2012,1.0,1.0,0.0,0.0,,,,False,1.0,
Rajasthan,2013,False,tigerdeaths_2013,1.0,0.0,0.0,1.0,,,,False,1.0,
Rajasthan,2016,False,tigerdeaths_16-18,3.0,,,,,,,False,3.0,
Rajasthan,2017,False,tigerdeaths_16-18,1.0,,,,,,,False,1.0,
Rajasthan,2018,False,tigerdeaths_16-18,6.0,,,,,,57.43,False,6.0,
Rajasthan,2019,False,mortality_19-21,3.0,,,,,,43.75,False,3.0,10.0
Rajasthan,2020,False,mortality_19-21|tigerdeaths_20-22,3.0,,,,,,20.75,False,3.0,4.0
Rajasthan,2021,False,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,1.0,,,,,,20.47,False,1.0,7.0
Rajasthan,2022,False,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,5.0,,,,,,49.59,False,5.0,5.0
Rajasthan,2023,False,tigerdeaths_unnaturalcauses,,,,,,,,True,5.0,3.0
Rajasthan,2024,False,tigerdeaths_unnaturalcauses,,,,,,,,True,5.0,
Sundarbans,2018,False,sundarbans_18-23,0.0,,,,,,57.43,False,0.0,
Sundarbans,2019,False,sundarbans_18-23,0.0,,,,,,43.75,False,0.0,10.0
Sundarbans,2020,False,sundarbans_18-23,0.0,,,,,,20.75,False,0.0,4.0
Sundarbans,2021,False,sundarbans_18-23,2.0,,,,,,20.47,False,2.0,7.0
Sundarbans,2022,False,sundarbans_18-23,0.0,,,,,,49.59,False,0.0,5.0
Sundarbans,2023,False,sundarbans_18-23,0.0,,,,,,,False,0.0,3.0
Tamil Nadu,2012,False,tigerdeaths_2012,7.0,3.0,3.0,1.0,,,,False,7.0,
Tamil Nadu,2013,False,tigerdeaths_2013,2.0,0.0,1.0,1.0,,,,False,2.0,
Tamil Nadu,2014,False,mortality_14-15,17.0,3.0,3.0,11.0,,,,False,17.0,
Tamil Nadu,2015,False,mortality_14-15,3.0,0.0,1.0,2.0,,,,False,3.0,
Tamil Nadu,2016,False,tigerdeaths_16-18,4.0,,,,,,,False,4.0,
Tamil Nadu,2017,False,tigerdeaths_16-18,2.0,,,,,,,False,2.0,
Tamil Nadu,2018,False,tigerdeaths_16-18,5.0,,,,,,57.43,False,5.0,
Tamil Nadu,2019,False,mortality_19-21,7.0,,,,,,43.75,False,7.0,10.0
Tamil Nadu,2020,False,mortality_19-21|tigerdeaths_20-22,8.0,,,,,,20.75,False,8.0,4.0
Tamil Nadu,2021,True,mortality_19-21|tigerdeaths_20-22|tigerdeaths_unnaturalcauses,4.0,,,,,1.0,20.47,False,4.0,7.0
Tamil Nadu,2022,True,tigerdeaths_20-22|tigerdeaths_unnaturalcauses,3.0,,,,,1.0,49.59,False,3.0,5.0
